Cod_setor;Cod_Grandes Regiões;Nome_Grande_Regiao;Cod_UF;Nome_da_UF ;Cod_meso;Nome_da_meso;Cod_micro;Nome_da_micro;Cod_RM;Nome_da_RM;Cod_municipio;Nome_do_municipio;Cod_distrito;Nome_do_distrito;Cod_subdistrito;Nome_do_subdistrito;Cod_bairro;Nome_do_bairro;Situacao_setor;Tipo_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012
510010210000001;5;"Região Centro-Oeste";51;"Mato Grosso";5104;"Centro-Sul Mato-Grossense";51016;"Rosário Oeste";35;"RM Vale do Rio Cuiabá ";5100102;"ACORIZAL";510010210;"ALDEIA";51001021000;"ALDEIA";5100102000;"ACORIZAL (todos os setores)";1;0;106;328;3,09;3,11;621,58;211742,68;665,54;197318,11;395,28;182230,11;596,03;154982,29
510010210000002;5;"Região Centro-Oeste";51;"Mato Grosso";5104;"Centro-Sul Mato-Grossense";51016;"Rosário Oeste";35;"RM Vale do Rio Cuiabá ";5100102;"ACORIZAL";510010210;"ALDEIA";51001021000;"ALDEIA";5100102000;"ACORIZAL (todos os setores)";8;0;174;523;3,01;2,72;593,97;228762,51;637,96;217570,05;302,46;188280,75;614,28;190858,1
510020105000001;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201009;"Centro II";1;0;202;630;3,12;2,15;2698,28;11434295,36;2780,88;11555240,49;1466,05;6974803,79;2223,78;8900130,91
510020105000002;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201005;"Guarujá";1;0;296;905;3,06;1,66;1037,6;2116232,82;1421,9;2354692,27;897,75;1767052,55;1400,85;2053105,1
510020105000003;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201005;"Guarujá";1;0;247;779;3,15;2,01;923,91;1382357,18;1056,51;1440929,62;695,35;1000207,68;971,04;1129347,24
510020105000004;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201005;"Guarujá";1;0;280;928;3,31;2,19;1138,98;4251313,1;1275,65;4588467;672,58;2136246,81;991,04;2833441,28
510020105000005;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201004;"Guarujá - Expansão";1;0;211;683;3,24;1,82;1119,92;2340059,07;1243,7;2445305,22;661,87;1265920,56;975,76;1560804,68
510020105000006;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201007;"Nova Era";1;0;362;1120;3,09;1,5;1714,76;5182850,6;1909,98;5400706,04;1041,7;2786351,9;1471,19;3304069,61
510020105000007;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201008;"Primavera";1;0;214;756;3,53;3,25;772,35;442346,65;883,86;407464,44;477,68;330381,66;767,75;308247,27
510020105000008;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201001;"Jardim Tropical";1;0;226;713;3,15;1,86;1185,62;842135,14;1252,1;805945,22;703,53;633241,9;1022,68;594017,67
510020105000009;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";1;0;54;183;3,39;2,17;1161,3;812554,89;1205,96;789499,06;598,2;651788,68;959,5;699255,95
510020105000010;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";1;0;33;116;3,52;3,07;749,36;317528,49;852,72;271603,92;443,33;232714,05;736,25;169686,15
510020105000011;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";1;0;64;205;3,2;2,58;1110,78;1060537,48;1269,46;1009692,44;750,3;805407,72;1118,63;788614,73
510020105000012;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201002;"Centro";1;0;104;293;2,82;1,49;1837,88;4288317,81;2197,01;4337828,17;1470,88;3512446,44;2021,55;3715234,83
510020105000013;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201002;"Centro";1;0;150;430;2,87;2,06;1660,5;3802238,17;1779,11;3863247,58;1227,29;2752514,56;1640,74;3002305,45
510020105000014;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";1;0;158;443;2,8;1,99;1860,66;5960012,71;1896,68;6007368,53;1139,77;3247598,35;1455,1;3688724,94
510020105000015;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201006;"Operário";1;0;250;801;3,2;1,95;2865,12;19217206,09;2984,5;19663491,93;1406,67;8519971,98;2003,1;10942576,68
510020105000016;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201006;"Operário";1;0;326;1119;3,43;2,74;995,98;1103682,58;1100,65;1104468,61;626,78;683779,49;924,35;733433,79
510020105000017;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201003;"Vila Nova";1;0;75;246;3,28;3,02;734,31;1464230,19;821,99;1568550,32;471,96;694054,03;742,7;892657,31
510020105000018;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201003;"Vila Nova";1;0;218;727;3,33;3,42;754,34;268351,63;798,28;248810,73;455,95;231661,92;620,31;213174,51
510020105000019;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";8;0;153;462;3,02;1,94;1169;1002625,37;1192,38;994747,51;609,73;692503,59;935,71;757962,66
510020105000020;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";8;0;18;52;2,89;2,58;1088,89;2669831,05;1152,94;2758231,43;874,51;2506726,01;1236,38;3117653,39
510020105000021;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";8;0;79;229;2,9;1,89;1003,56;2398001,35;1165,9;2599606,27;554,1;1275699,58;1063,88;1913379,68
510020105000022;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";8;0;96;312;3,25;1,45;1270,66;6306886,4;1297,69;6407057,72;252,01;1180591,37;984,05;3905791,93
510020105000023;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";8;0;39;102;2,62;1,66;1053,38;1914382,3;1208,29;2011591,97;659,52;1089322,16;995,07;1313580,32
510020105000024;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";8;0;39;111;2,85;2,19;1320,9;1607047,2;1355,66;1602084,01;645,38;1078876,79;1174,6;1347308
510020105000025;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";8;8;63;171;2,71;1,88;593,43;247271,93;679,75;224144,75;311,61;196388,58;653,1;188476,12
510020105000026;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";8;8;66;176;2,67;1,76;1043,61;1419678,46;1167,42;1443979,08;592,93;981090,21;1067,28;1263016,21
510020105000027;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201009;"Centro II";1;0;151;470;3,11;1,82;2032,57;9636320,45;2623,23;10897961,23;1498,26;5733039,37;2242,05;6915715,08
510020105000028;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201004;"Guarujá - Expansão";1;0;252;855;3,39;2,45;774,31;258293,39;852,08;217792,61;496,96;252556,75;734,92;198494,88
510020105000029;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201008;"Primavera";1;0;224;765;3,42;3,03;772,77;346639,36;856,93;312099,46;465,54;326754,01;746,83;314079,24
510020105000030;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201001;"Jardim Tropical";1;0;171;520;3,04;1,5;1900,05;3530122,3;1933,98;3527526,08;1122,02;2265196,22;1516,15;2463955,07
510020105000031;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";1;0;229;754;3,29;2,36;720,45;215002,47;789,39;180991,4;460,19;222089,62;717,71;161387,9
510020105000032;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";1;0;222;683;3,08;1,96;1093,23;1056572,5;1178,14;1038512,37;660,42;856788,44;997,82;958117,3
510020105000033;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";1;0;319;992;3,11;2,14;1190,63;3153504,99;1318,78;3324526,09;757,06;1730438,43;1086,44;2126129,35
510020105000034;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";1;0;1;4;4;0;1600;0;1600;0;925;911250;925;911250
510020105000035;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";2;0;119;355;2,98;2,05;1287,61;3649900,46;1320,91;3700745,87;760,65;1796080,93;1038,86;2165679,8
510020105000036;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";1;0;1;3;3;0;800;0;800;0;665,33;23205,33;665,33;23205,33
510020105000037;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";1;0;11;37;3,36;4,85;711,36;124150,45;782,5;76095,83;404,82;151502,74;629,72;90666,09
510020105000038;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";8;5;12;94;7,83;15,79;448,67;63730,42;489,45;48143,27;156,55;61168,31;469,64;35289,77
510020105000039;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";8;5;6;46;7,67;3,87;268,33;70936,67;402,5;46225;136,4;50069,63;409,2;37302,4
510020105000040;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";8;5;11;92;8,36;19,45;352,18;111685,96;430,44;101708,78;142,04;64425,46;418,22;74765,12
510020105000041;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020105;"ÁGUA BOA";51002010500;"ÁGUA BOA";5100201000;"ÁGUA BOA (demais setores)";8;0;6;10;1,67;,67;778,33;406896,67;778,33;406896,67;1139;2234054,44;1265,56;2333127,78
510020115000001;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020115;"JARAGUÁ";51002011500;"JARAGUÁ";5100201000;"ÁGUA BOA (demais setores)";1;0;4;9;2,25;1,58;725;7500;725;7500;457,14;125357,14;640;41750
510020115000002;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020115;"JARAGUÁ";51002011500;"JARAGUÁ";5100201000;"ÁGUA BOA (demais setores)";8;0;64;198;3,09;1,83;995,3;368113,16;1079,64;307212,03;525,62;365849,67;919,84;276653,1
510020115000003;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020115;"JARAGUÁ";51002011500;"JARAGUÁ";5100201000;"ÁGUA BOA (demais setores)";8;0;57;161;2,82;1,65;729,4;233880,1;848,49;169711,55;440,26;404126,26;838,86;436076,58
510020115000005;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020115;"JARAGUÁ";51002011500;"JARAGUÁ";5100201000;"ÁGUA BOA (demais setores)";8;8;195;584;2,99;2,29;818,24;1570244,69;911,75;1664982,53;435,16;773999,57;795,46;1129511,52
510020125000001;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020125;"SERRINHA";51002012500;"SERRINHA";5100201000;"ÁGUA BOA (demais setores)";1;0;63;167;2,65;2,13;679,6;518192,18;873,78;496133,89;559,89;470236,37;849,27;467486,68
510020125000002;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020125;"SERRINHA";51002012500;"SERRINHA";5100201000;"ÁGUA BOA (demais setores)";8;0;134;430;3,21;2,09;691,18;1023618,69;1115,88;1180565,64;460,5;574017,51;923,59;724414,09
510020125000003;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020125;"SERRINHA";51002012500;"SERRINHA";5100201000;"ÁGUA BOA (demais setores)";8;0;48;143;2,98;2,45;962,81;552765,86;1027;523035,68;542,35;620175,25;955,18;699098,76
510020125000004;5;"Região Centro-Oeste";51;"Mato Grosso";5102;"Nordeste Mato-Grossense";51010;"Canarana";00;"Municípios não pertencentes a estrutura de RM";5100201;"ÁGUA BOA";510020125;"SERRINHA";51002012500;"SERRINHA";5100201000;"ÁGUA BOA (demais setores)";8;8;99;291;2,94;1,91;707,53;165195,07;722,11;157992,6;404,13;177339,52;594,57;147505,27
510025005000001;5;"Região Centro-Oeste";51;"Mato Grosso";5101;"Norte Mato-Grossense";51002;"Alta Floresta";00;"Municípios não pertencentes a estrutura de RM";5100250;"ALTA FLORESTA";510025005;"ALTA FLORESTA";51002500500;"ALTA FLORESTA";5100250000;"ALTA FLORESTA (todos os setores)";1;0;163;536;3,29;2,17;1965,93;18283678,01;2054,15;18927016,98;1031,63;7566987,01;1524,59;10440381,14
510025005000002;5;"Região Centro-Oeste";51;"Mato Grosso";5101;"Norte Mato-Grossense";51002;"Alta Floresta";00;"Municípios não pertencentes a estrutura de RM";5100250;"ALTA FLORESTA";510025005;"ALTA FLORESTA";51002500500;"ALTA FLORESTA";5100250000;"ALTA FLORESTA (todos os setores)";1;0;175;570;3,26;2,1;3477,99;233600571,39;3580,28;240143423,17;1580,75;81967788,28;2305,83;117996298,82
510025005000003;5;"Região Centro-Oeste";51;"Mato Grosso";5101;"Norte Mato-Grossense";51002;"Alta Floresta";00;"Municípios não pertencentes a estrutura de RM";5100250;"ALTA FLORESTA";510025005;"ALTA FLORESTA";51002500500;"ALTA FLORESTA";5100250000;"ALTA FLORESTA (todos os setores)";1;0;228;721;3,16;2,13;1145,99;1989162,14;1262,25;2044479,13;684,55;1048749,98;1009,91;1219028,86
510025005000004;5;"Região Centro-Oeste";51;"Mato Grosso";5101;"Norte Mato-Grossense";51002;"Alta Floresta";00;"Municípios não pertencentes a estrutura de RM";5100250;"ALTA FLORESTA";510025005;"ALTA FLORESTA";51002500500;"ALTA FLORESTA";5100250000;"ALTA FLORESTA (todos os setores)";1;0;233;659;2,83;1,92;1130,73;1513299,61;1254,57;1523723,18;743,23;1186791,1;1062,52;1357789,17
510025005000005;5;"Região Centro-Oeste";51;"Mato Grosso";5101;"Norte Mato-Grossense";51002;"Alta Floresta";00;"Municípios não pertencentes a estrutura de RM";5100250;"ALTA FLORESTA";510025005;"ALTA FLORESTA";51002500500;"ALTA FLORESTA";5100250000;"ALTA FLORESTA (todos os setores)";1;0;232;709;3,06;2,08;1750,42;6449420,52;1837,54;6611068,12;974,24;3214525,52;1406,98;4035392,98
510025005000006;5;"Região Centro-Oeste";51;"Mato Grosso";5101;"Norte Mato-Grossense";51002;"Alta Floresta";00;"Municípios não pertencentes a estrutura de RM";5100250;"ALTA FLORESTA";510025005;"ALTA FLORESTA";51002500500;"ALTA FLORESTA";5100250000;"ALTA FLORESTA (todos os setores)";1;0;224;753;3,36;2,62;1040,77;904260,78;1148,44;874008,08;595,24;604188,88;945,72;628543,73
