ANO,MÊS,PARTIDO,SEXO,FAIXA ,FILIADOS
2020,4,CIDADANIA,FEMININO,45 a 59 anos,"73,658"
2020,4,CIDADANIA,FEMININO,60 a 69 anos,"34,024"
2020,4,CIDADANIA,FEMININO,70 a 79 anos,"14,679"
2020,4,CIDADANIA,FEMININO,Inválida,5
2020,4,CIDADANIA,FEMININO,Superior a 79 anos,"6,110"
2020,4,CIDADANIA,MASCULINO,16 anos,20
2020,4,CIDADANIA,MASCULINO,17 anos,64
2020,4,CIDADANIA,MASCULINO,18 a 20 anos,717
2020,4,CIDADANIA,MASCULINO,21 a 24 anos,"2,738"
2020,4,CIDADANIA,MASCULINO,25 a 34 anos,"22,767"
2020,4,CIDADANIA,MASCULINO,35 a 44 anos,"63,966"
2020,4,CIDADANIA,MASCULINO,45 a 59 anos,"99,830"
2020,4,CIDADANIA,MASCULINO,60 a 69 anos,"43,991"
2020,4,CIDADANIA,MASCULINO,70 a 79 anos,"18,952"
2020,4,CIDADANIA,MASCULINO,Inválida,6
2020,4,CIDADANIA,MASCULINO,Superior a 79 anos,"7,397"
2020,4,CIDADANIA,NÃO INFORMADO,45 a 59 anos,44
2020,4,CIDADANIA,NÃO INFORMADO,60 a 69 anos,42
2020,4,CIDADANIA,NÃO INFORMADO,70 a 79 anos,29
2020,4,CIDADANIA,NÃO INFORMADO,Superior a 79 anos,21
2020,4,DC,FEMININO,16 anos,10
2020,4,DC,FEMININO,17 anos,17
2020,4,DC,FEMININO,18 a 20 anos,230
2020,4,DC,FEMININO,21 a 24 anos,"1,133"
2020,4,DC,FEMININO,25 a 34 anos,"11,793"
2020,4,DC,FEMININO,35 a 44 anos,"22,970"
2020,4,DC,FEMININO,45 a 59 anos,"27,882"
2020,4,DC,FEMININO,60 a 69 anos,"11,199"
2020,4,DC,FEMININO,70 a 79 anos,"4,720"
2020,4,DC,FEMININO,Inválida,2
2020,4,DC,FEMININO,Superior a 79 anos,"1,796"
2020,4,DC,MASCULINO,16 anos,3
2020,4,DC,MASCULINO,17 anos,18
2020,4,DC,MASCULINO,18 a 20 anos,243
2020,4,DC,MASCULINO,21 a 24 anos,"1,308"
2020,4,DC,MASCULINO,25 a 34 anos,"12,947"
2020,4,DC,MASCULINO,35 a 44 anos,"26,959"
2020,4,DC,MASCULINO,45 a 59 anos,"34,283"
2020,4,DC,MASCULINO,60 a 69 anos,"13,416"
2020,4,DC,MASCULINO,70 a 79 anos,"5,485"
2020,4,DC,MASCULINO,Inválida,4
2020,4,DC,MASCULINO,Superior a 79 anos,"1,975"
2020,4,DC,NÃO INFORMADO,45 a 59 anos,18
2020,4,DC,NÃO INFORMADO,60 a 69 anos,19
2020,4,DC,NÃO INFORMADO,70 a 79 anos,20
2020,4,DC,NÃO INFORMADO,Superior a 79 anos,8
2020,4,DEM,FEMININO,16 anos,59
2020,4,DEM,FEMININO,17 anos,145
2020,4,DEM,FEMININO,18 a 20 anos,"1,281"
2020,4,DEM,FEMININO,21 a 24 anos,"4,173"
2020,4,DEM,FEMININO,25 a 34 anos,"33,048"
2020,4,DEM,FEMININO,35 a 44 anos,"84,481"
2020,4,DEM,FEMININO,45 a 59 anos,"169,480"
2020,4,DEM,FEMININO,60 a 69 anos,"93,879"
2020,4,DEM,FEMININO,70 a 79 anos,"49,586"
2020,4,DEM,FEMININO,Inválida,10
2020,4,DEM,FEMININO,Superior a 79 anos,"25,685"
2020,4,DEM,MASCULINO,16 anos,66
2020,4,DEM,MASCULINO,17 anos,154
2020,4,DEM,MASCULINO,18 a 20 anos,"1,523"
2020,4,DEM,MASCULINO,21 a 24 anos,"5,185"
2020,4,DEM,MASCULINO,25 a 34 anos,"40,419"
2020,4,DEM,MASCULINO,35 a 44 anos,"103,209"
2020,4,DEM,MASCULINO,45 a 59 anos,"200,698"
2020,4,DEM,MASCULINO,60 a 69 anos,"113,569"
2020,4,DEM,MASCULINO,70 a 79 anos,"63,215"
2020,4,DEM,MASCULINO,Inválida,19
2020,4,DEM,MASCULINO,Superior a 79 anos,"34,732"
2020,4,DEM,NÃO INFORMADO,45 a 59 anos,85
2020,4,DEM,NÃO INFORMADO,60 a 69 anos,88
2020,4,DEM,NÃO INFORMADO,70 a 79 anos,84
2020,4,DEM,NÃO INFORMADO,Superior a 79 anos,107
2020,4,MDB,FEMININO,16 anos,98
2020,4,MDB,FEMININO,17 anos,251
2020,4,MDB,FEMININO,18 a 20 anos,"2,418"
2020,4,MDB,FEMININO,21 a 24 anos,"9,515"
2020,4,MDB,FEMININO,25 a 34 anos,"73,886"
2020,4,MDB,FEMININO,35 a 44 anos,"144,520"
2020,4,MDB,FEMININO,45 a 59 anos,"335,100"
2020,4,MDB,FEMININO,60 a 69 anos,"244,778"
2020,4,MDB,FEMININO,70 a 79 anos,"128,864"
2020,4,MDB,FEMININO,Inválida,18
2020,4,MDB,FEMININO,Superior a 79 anos,"68,645"
2020,4,MDB,MASCULINO,16 anos,112
2020,4,MDB,MASCULINO,17 anos,279
2020,4,MDB,MASCULINO,18 a 20 anos,"2,730"
2020,4,MDB,MASCULINO,21 a 24 anos,"10,722"
2020,4,MDB,MASCULINO,25 a 34 anos,"82,761"
2020,4,MDB,MASCULINO,35 a 44 anos,"170,244"
2020,4,MDB,MASCULINO,45 a 59 anos,"383,120"
2020,4,MDB,MASCULINO,60 a 69 anos,"274,591"
2020,4,MDB,MASCULINO,70 a 79 anos,"148,242"
2020,4,MDB,MASCULINO,Inválida,24
2020,4,MDB,MASCULINO,Superior a 79 anos,"80,716"
2020,4,MDB,NÃO INFORMADO,35 a 44 anos,1
2020,4,MDB,NÃO INFORMADO,45 a 59 anos,274
2020,4,MDB,NÃO INFORMADO,60 a 69 anos,337
2020,4,MDB,NÃO INFORMADO,70 a 79 anos,359
2020,4,MDB,NÃO INFORMADO,Superior a 79 anos,441
2020,4,NOVO,FEMININO,17 anos,9
2020,4,NOVO,FEMININO,18 a 20 anos,86
2020,4,NOVO,FEMININO,21 a 24 anos,248
2020,4,NOVO,FEMININO,25 a 34 anos,"1,523"
2020,4,NOVO,FEMININO,35 a 44 anos,"2,258"
2020,4,NOVO,FEMININO,45 a 59 anos,"2,772"
2020,4,NOVO,FEMININO,60 a 69 anos,"1,283"
2020,4,NOVO,FEMININO,70 a 79 anos,397
2020,4,NOVO,FEMININO,Superior a 79 anos,100
2020,4,NOVO,MASCULINO,16 anos,6
2020,4,NOVO,MASCULINO,17 anos,21
2020,4,NOVO,MASCULINO,18 a 20 anos,280
2020,4,NOVO,MASCULINO,21 a 24 anos,937
2020,4,NOVO,MASCULINO,25 a 34 anos,"7,741"
2020,4,NOVO,MASCULINO,35 a 44 anos,"10,808"
2020,4,NOVO,MASCULINO,45 a 59 anos,"9,004"
2020,4,NOVO,MASCULINO,60 a 69 anos,"3,309"
2020,4,NOVO,MASCULINO,70 a 79 anos,"1,087"
2020,4,NOVO,MASCULINO,Superior a 79 anos,171
2020,4,NOVO,NÃO INFORMADO,45 a 59 anos,4
2020,4,NOVO,NÃO INFORMADO,60 a 69 anos,2
2020,4,NOVO,NÃO INFORMADO,70 a 79 anos,3
2020,4,PATRIOTA,FEMININO,16 anos,37
2020,4,PATRIOTA,FEMININO,17 anos,75
2020,4,PATRIOTA,FEMININO,18 a 20 anos,885
2020,4,PATRIOTA,FEMININO,21 a 24 anos,"4,454"
2020,4,PATRIOTA,FEMININO,25 a 34 anos,"22,092"
2020,4,PATRIOTA,FEMININO,35 a 44 anos,"33,130"
2020,4,PATRIOTA,FEMININO,45 a 59 anos,"52,108"
2020,4,PATRIOTA,FEMININO,60 a 69 anos,"21,534"
2020,4,PATRIOTA,FEMININO,70 a 79 anos,"9,454"
2020,4,PATRIOTA,FEMININO,Inválida,7
2020,4,PATRIOTA,FEMININO,Superior a 79 anos,"4,002"
2020,4,PATRIOTA,MASCULINO,16 anos,42
2020,4,PATRIOTA,MASCULINO,17 anos,110
2020,4,PATRIOTA,MASCULINO,18 a 20 anos,"1,031"
2020,4,PATRIOTA,MASCULINO,21 a 24 anos,"5,051"
2020,4,PATRIOTA,MASCULINO,25 a 34 anos,"26,291"
2020,4,PATRIOTA,MASCULINO,35 a 44 anos,"42,878"
2020,4,PATRIOTA,MASCULINO,45 a 59 anos,"67,124"
2020,4,PATRIOTA,MASCULINO,60 a 69 anos,"26,304"
2020,4,PATRIOTA,MASCULINO,70 a 79 anos,"10,745"
2020,4,PATRIOTA,MASCULINO,Inválida,8
2020,4,PATRIOTA,MASCULINO,Superior a 79 anos,"4,162"
2020,4,PATRIOTA,NÃO INFORMADO,45 a 59 anos,28
2020,4,PATRIOTA,NÃO INFORMADO,60 a 69 anos,30
2020,4,PATRIOTA,NÃO INFORMADO,70 a 79 anos,29
2020,4,PATRIOTA,NÃO INFORMADO,Superior a 79 anos,18
2020,4,PCB,FEMININO,18 a 20 anos,4
2020,4,PCB,FEMININO,21 a 24 anos,21
2020,4,PCB,FEMININO,25 a 34 anos,442
2020,4,PCB,FEMININO,35 a 44 anos,"1,183"
2020,4,PCB,FEMININO,45 a 59 anos,"2,430"
2020,4,PCB,FEMININO,60 a 69 anos,"1,047"
2020,4,PCB,FEMININO,70 a 79 anos,505
2020,4,PCB,FEMININO,Superior a 79 anos,288
2020,4,PCB,MASCULINO,17 anos,1
2020,4,PCB,MASCULINO,18 a 20 anos,6
2020,4,PCB,MASCULINO,21 a 24 anos,32
2020,4,PCB,MASCULINO,25 a 34 anos,546
2020,4,PCB,MASCULINO,35 a 44 anos,"1,583"
2020,4,PCB,MASCULINO,45 a 59 anos,"2,830"
2020,4,PCB,MASCULINO,60 a 69 anos,"1,074"
2020,4,PCB,MASCULINO,70 a 79 anos,498
2020,4,PCB,MASCULINO,Inválida,1
2020,4,PCB,MASCULINO,Superior a 79 anos,263
2020,4,PCB,NÃO INFORMADO,45 a 59 anos,1
2020,4,PCB,NÃO INFORMADO,70 a 79 anos,1
2020,4,PCB,NÃO INFORMADO,Superior a 79 anos,1
2020,4,PCDOB,FEMININO,16 anos,16
2020,4,PCDOB,FEMININO,17 anos,55
2020,4,PCDOB,FEMININO,18 a 20 anos,718
2020,4,PCDOB,FEMININO,21 a 24 anos,"3,952"
2020,4,PCDOB,FEMININO,25 a 34 anos,"30,748"
2020,4,PCDOB,FEMININO,35 a 44 anos,"45,535"
2020,4,PCDOB,FEMININO,45 a 59 anos,"65,957"
2020,4,PCDOB,FEMININO,60 a 69 anos,"27,760"
2020,4,PCDOB,FEMININO,70 a 79 anos,"11,099"
2020,4,PCDOB,FEMININO,Inválida,4
2020,4,PCDOB,FEMININO,Superior a 79 anos,"4,380"
2020,4,PCDOB,MASCULINO,16 anos,14
2020,4,PCDOB,MASCULINO,17 anos,65
2020,4,PCDOB,MASCULINO,18 a 20 anos,796
2020,4,PCDOB,MASCULINO,21 a 24 anos,"4,222"
2020,4,PCDOB,MASCULINO,25 a 34 anos,"34,931"
2020,4,PCDOB,MASCULINO,35 a 44 anos,"57,090"
2020,4,PCDOB,MASCULINO,45 a 59 anos,"81,432"
2020,4,PCDOB,MASCULINO,60 a 69 anos,"31,615"
2020,4,PCDOB,MASCULINO,70 a 79 anos,"11,495"
2020,4,PCDOB,MASCULINO,Inválida,9
2020,4,PCDOB,MASCULINO,Superior a 79 anos,"4,144"
2020,4,PCDOB,NÃO INFORMADO,45 a 59 anos,39
2020,4,PCDOB,NÃO INFORMADO,60 a 69 anos,38
2020,4,PCDOB,NÃO INFORMADO,70 a 79 anos,31
2020,4,PCDOB,NÃO INFORMADO,Superior a 79 anos,29
2020,4,PCO,FEMININO,17 anos,1
2020,4,PCO,FEMININO,18 a 20 anos,25
2020,4,PCO,FEMININO,21 a 24 anos,52
2020,4,PCO,FEMININO,25 a 34 anos,167
2020,4,PCO,FEMININO,35 a 44 anos,395
2020,4,PCO,FEMININO,45 a 59 anos,532
2020,4,PCO,FEMININO,60 a 69 anos,241
2020,4,PCO,FEMININO,70 a 79 anos,96
2020,4,PCO,FEMININO,Superior a 79 anos,38
2020,4,PCO,MASCULINO,16 anos,2
2020,4,PCO,MASCULINO,17 anos,5
2020,4,PCO,MASCULINO,18 a 20 anos,61
2020,4,PCO,MASCULINO,21 a 24 anos,182
2020,4,PCO,MASCULINO,25 a 34 anos,438
2020,4,PCO,MASCULINO,35 a 44 anos,801
2020,4,PCO,MASCULINO,45 a 59 anos,856
2020,4,PCO,MASCULINO,60 a 69 anos,338
2020,4,PCO,MASCULINO,70 a 79 anos,111
2020,4,PCO,MASCULINO,Superior a 79 anos,32
2020,4,PCO,NÃO INFORMADO,60 a 69 anos,1
2020,4,PDT,FEMININO,16 anos,54
2020,4,PDT,FEMININO,17 anos,178
2020,4,PDT,FEMININO,18 a 20 anos,"1,647"
2020,4,PDT,FEMININO,21 a 24 anos,"5,960"
2020,4,PDT,FEMININO,25 a 34 anos,"48,249"
2020,4,PDT,FEMININO,35 a 44 anos,"89,872"
2020,4,PDT,FEMININO,45 a 59 anos,"186,712"
2020,4,PDT,FEMININO,60 a 69 anos,"112,881"
2020,4,PDT,FEMININO,70 a 79 anos,"56,413"
2020,4,PDT,FEMININO,Inválida,8
2020,4,PDT,FEMININO,Superior a 79 anos,"29,267"
2020,4,PDT,MASCULINO,16 anos,59
2020,4,PDT,MASCULINO,17 anos,189
2020,4,PDT,MASCULINO,18 a 20 anos,"2,044"
2020,4,PDT,MASCULINO,21 a 24 anos,"7,130"
2020,4,PDT,MASCULINO,25 a 34 anos,"55,605"
2020,4,PDT,MASCULINO,35 a 44 anos,"107,892"
2020,4,PDT,MASCULINO,45 a 59 anos,"229,184"
2020,4,PDT,MASCULINO,60 a 69 anos,"134,862"
2020,4,PDT,MASCULINO,70 a 79 anos,"62,828"
2020,4,PDT,MASCULINO,Inválida,18
2020,4,PDT,MASCULINO,Superior a 79 anos,"30,369"
2020,4,PDT,NÃO INFORMADO,35 a 44 anos,1
2020,4,PDT,NÃO INFORMADO,45 a 59 anos,180
2020,4,PDT,NÃO INFORMADO,60 a 69 anos,214
2020,4,PDT,NÃO INFORMADO,70 a 79 anos,171
2020,4,PDT,NÃO INFORMADO,Superior a 79 anos,164
2020,4,PHS,FEMININO,25 a 34 anos,7
2020,4,PHS,FEMININO,35 a 44 anos,14
2020,4,PHS,FEMININO,45 a 59 anos,15
2020,4,PHS,FEMININO,60 a 69 anos,6
2020,4,PHS,FEMININO,70 a 79 anos,3
2020,4,PHS,FEMININO,Superior a 79 anos,1
2020,4,PHS,MASCULINO,21 a 24 anos,1
2020,4,PHS,MASCULINO,25 a 34 anos,8
2020,4,PHS,MASCULINO,35 a 44 anos,19
2020,4,PHS,MASCULINO,45 a 59 anos,17
2020,4,PHS,MASCULINO,60 a 69 anos,14
2020,4,PHS,MASCULINO,70 a 79 anos,4
2020,4,PHS,MASCULINO,Superior a 79 anos,2
2020,4,PL,FEMININO,16 anos,45
2020,4,PL,FEMININO,17 anos,146
2020,4,PL,FEMININO,18 a 20 anos,"1,103"
2020,4,PL,FEMININO,21 a 24 anos,"4,021"
2020,4,PL,FEMININO,25 a 34 anos,"30,883"
2020,4,PL,FEMININO,35 a 44 anos,"69,466"
2020,4,PL,FEMININO,45 a 59 anos,"132,106"
2020,4,PL,FEMININO,60 a 69 anos,"65,708"
2020,4,PL,FEMININO,70 a 79 anos,"31,961"
2020,4,PL,FEMININO,Inválida,16
2020,4,PL,FEMININO,Superior a 79 anos,"15,342"
2020,4,PL,MASCULINO,16 anos,59
2020,4,PL,MASCULINO,17 anos,158
2020,4,PL,MASCULINO,18 a 20 anos,"1,276"
2020,4,PL,MASCULINO,21 a 24 anos,"4,692"
2020,4,PL,MASCULINO,25 a 34 anos,"36,680"
2020,4,PL,MASCULINO,35 a 44 anos,"85,872"
2020,4,PL,MASCULINO,45 a 59 anos,"160,419"
2020,4,PL,MASCULINO,60 a 69 anos,"77,494"
2020,4,PL,MASCULINO,70 a 79 anos,"36,741"
2020,4,PL,MASCULINO,Inválida,11
2020,4,PL,MASCULINO,Superior a 79 anos,"16,762"
2020,4,PL,NÃO INFORMADO,35 a 44 anos,2
2020,4,PL,NÃO INFORMADO,45 a 59 anos,119
2020,4,PL,NÃO INFORMADO,60 a 69 anos,94
2020,4,PL,NÃO INFORMADO,70 a 79 anos,86
2020,4,PL,NÃO INFORMADO,Superior a 79 anos,92
2020,4,PMB,FEMININO,16 anos,7
2020,4,PMB,FEMININO,17 anos,10
2020,4,PMB,FEMININO,18 a 20 anos,366
2020,4,PMB,FEMININO,21 a 24 anos,"1,889"
2020,4,PMB,FEMININO,25 a 34 anos,"6,205"
2020,4,PMB,FEMININO,35 a 44 anos,"6,629"
2020,4,PMB,FEMININO,45 a 59 anos,"7,484"
2020,4,PMB,FEMININO,60 a 69 anos,"2,406"
2020,4,PMB,FEMININO,70 a 79 anos,724
2020,4,PMB,FEMININO,Inválida,1
2020,4,PMB,FEMININO,Superior a 79 anos,141
2020,4,PMB,MASCULINO,16 anos,5
2020,4,PMB,MASCULINO,17 anos,14
2020,4,PMB,MASCULINO,18 a 20 anos,285
2020,4,PMB,MASCULINO,21 a 24 anos,"1,495"
2020,4,PMB,MASCULINO,25 a 34 anos,"4,718"
2020,4,PMB,MASCULINO,35 a 44 anos,"5,242"
2020,4,PMB,MASCULINO,45 a 59 anos,"6,359"
2020,4,PMB,MASCULINO,60 a 69 anos,"2,246"
2020,4,PMB,MASCULINO,70 a 79 anos,668
2020,4,PMB,MASCULINO,Superior a 79 anos,141
2020,4,PMB,NÃO INFORMADO,45 a 59 anos,3
2020,4,PMB,NÃO INFORMADO,70 a 79 anos,7
2020,4,PMN,FEMININO,16 anos,7
2020,4,PMN,FEMININO,17 anos,19
2020,4,PMN,FEMININO,18 a 20 anos,229
2020,4,PMN,FEMININO,21 a 24 anos,"1,303"
2020,4,PMN,FEMININO,25 a 34 anos,"9,895"
2020,4,PMN,FEMININO,35 a 44 anos,"18,454"
2020,4,PMN,FEMININO,45 a 59 anos,"40,342"
2020,4,PMN,FEMININO,60 a 69 anos,"18,197"
2020,4,PMN,FEMININO,70 a 79 anos,"8,584"
2020,4,PMN,FEMININO,Inválida,2
2020,4,PMN,FEMININO,Superior a 79 anos,"3,936"
2020,4,PMN,MASCULINO,16 anos,7
2020,4,PMN,MASCULINO,17 anos,19
2020,4,PMN,MASCULINO,18 a 20 anos,242
2020,4,PMN,MASCULINO,21 a 24 anos,"1,425"
2020,4,PMN,MASCULINO,25 a 34 anos,"11,097"
2020,4,PMN,MASCULINO,35 a 44 anos,"23,056"
2020,4,PMN,MASCULINO,45 a 59 anos,"48,327"
2020,4,PMN,MASCULINO,60 a 69 anos,"20,674"
2020,4,PMN,MASCULINO,70 a 79 anos,"8,916"
2020,4,PMN,MASCULINO,Inválida,6
2020,4,PMN,MASCULINO,Superior a 79 anos,"3,953"
2020,4,PMN,NÃO INFORMADO,45 a 59 anos,27
2020,4,PMN,NÃO INFORMADO,60 a 69 anos,37
2020,4,PMN,NÃO INFORMADO,70 a 79 anos,33
2020,4,PMN,NÃO INFORMADO,Superior a 79 anos,21
2020,4,PODE,FEMININO,16 anos,48
2020,4,PODE,FEMININO,17 anos,136
2020,4,PODE,FEMININO,18 a 20 anos,"1,563"
2020,4,PODE,FEMININO,21 a 24 anos,"5,802"
2020,4,PODE,FEMININO,25 a 34 anos,"31,872"
2020,4,PODE,FEMININO,35 a 44 anos,"50,379"
2020,4,PODE,FEMININO,45 a 59 anos,"58,090"
2020,4,PODE,FEMININO,60 a 69 anos,"22,017"
2020,4,PODE,FEMININO,70 a 79 anos,"8,731"
2020,4,PODE,FEMININO,Inválida,7
2020,4,PODE,FEMININO,Superior a 79 anos,"3,073"
2020,4,PODE,MASCULINO,16 anos,69
2020,4,PODE,MASCULINO,17 anos,155
2020,4,PODE,MASCULINO,18 a 20 anos,"1,660"
2020,4,PODE,MASCULINO,21 a 24 anos,"6,683"
2020,4,PODE,MASCULINO,25 a 34 anos,"37,209"
2020,4,PODE,MASCULINO,35 a 44 anos,"62,098"
2020,4,PODE,MASCULINO,45 a 59 anos,"76,256"
2020,4,PODE,MASCULINO,60 a 69 anos,"28,684"
2020,4,PODE,MASCULINO,70 a 79 anos,"10,911"
2020,4,PODE,MASCULINO,Inválida,3
2020,4,PODE,MASCULINO,Superior a 79 anos,"3,321"
2020,4,PODE,NÃO INFORMADO,45 a 59 anos,35
2020,4,PODE,NÃO INFORMADO,60 a 69 anos,32
2020,4,PODE,NÃO INFORMADO,70 a 79 anos,19
2020,4,PODE,NÃO INFORMADO,Superior a 79 anos,10
2020,4,PP,FEMININO,16 anos,103
2020,4,PP,FEMININO,17 anos,244
2020,4,PP,FEMININO,18 a 20 anos,"2,317"
2020,4,PP,FEMININO,21 a 24 anos,"7,231"
2020,4,PP,FEMININO,25 a 34 anos,"46,456"
2020,4,PP,FEMININO,35 a 44 anos,"90,353"
2020,4,PP,FEMININO,45 a 59 anos,"204,959"
2020,4,PP,FEMININO,60 a 69 anos,"142,420"
2020,4,PP,FEMININO,70 a 79 anos,"78,670"
2020,4,PP,FEMININO,Inválida,10
2020,4,PP,FEMININO,Superior a 79 anos,"45,581"
2020,4,PP,MASCULINO,16 anos,105
2020,4,PP,MASCULINO,17 anos,229
2020,4,PP,MASCULINO,18 a 20 anos,"2,338"
2020,4,PP,MASCULINO,21 a 24 anos,"7,683"
2020,4,PP,MASCULINO,25 a 34 anos,"52,472"
2020,4,PP,MASCULINO,35 a 44 anos,"110,449"
2020,4,PP,MASCULINO,45 a 59 anos,"245,882"
2020,4,PP,MASCULINO,60 a 69 anos,"160,559"
2020,4,PP,MASCULINO,70 a 79 anos,"90,278"
2020,4,PP,MASCULINO,Inválida,12
2020,4,PP,MASCULINO,Superior a 79 anos,"52,442"
2020,4,PP,NÃO INFORMADO,45 a 59 anos,120
2020,4,PP,NÃO INFORMADO,60 a 69 anos,155
2020,4,PP,NÃO INFORMADO,70 a 79 anos,176
2020,4,PP,NÃO INFORMADO,Superior a 79 anos,235
2020,4,PPL,FEMININO,25 a 34 anos,8
2020,4,PPL,FEMININO,35 a 44 anos,6
2020,4,PPL,FEMININO,45 a 59 anos,10
2020,4,PPL,FEMININO,60 a 69 anos,1
2020,4,PPL,FEMININO,70 a 79 anos,1
2020,4,PPL,FEMININO,Superior a 79 anos,1
2020,4,PPL,MASCULINO,25 a 34 anos,13
2020,4,PPL,MASCULINO,35 a 44 anos,9
2020,4,PPL,MASCULINO,45 a 59 anos,7
2020,4,PPL,MASCULINO,60 a 69 anos,2
2020,4,PPL,MASCULINO,70 a 79 anos,1
2020,4,PPL,MASCULINO,Superior a 79 anos,1
2020,4,PROS,FEMININO,16 anos,31
2020,4,PROS,FEMININO,17 anos,59
2020,4,PROS,FEMININO,18 a 20 anos,767
2020,4,PROS,FEMININO,21 a 24 anos,"3,339"
2020,4,PROS,FEMININO,25 a 34 anos,"12,652"
2020,4,PROS,FEMININO,35 a 44 anos,"13,534"
2020,4,PROS,FEMININO,45 a 59 anos,"13,939"
2020,4,PROS,FEMININO,60 a 69 anos,"4,044"
2020,4,PROS,FEMININO,70 a 79 anos,"1,173"
2020,4,PROS,FEMININO,Inválida,4
2020,4,PROS,FEMININO,Superior a 79 anos,261
2020,4,PROS,MASCULINO,16 anos,30
2020,4,PROS,MASCULINO,17 anos,89
2020,4,PROS,MASCULINO,18 a 20 anos,797
2020,4,PROS,MASCULINO,21 a 24 anos,"3,703"
2020,4,PROS,MASCULINO,25 a 34 anos,"15,893"
2020,4,PROS,MASCULINO,35 a 44 anos,"18,985"
2020,4,PROS,MASCULINO,45 a 59 anos,"21,439"
2020,4,PROS,MASCULINO,60 a 69 anos,"6,538"
2020,4,PROS,MASCULINO,70 a 79 anos,"1,905"
2020,4,PROS,MASCULINO,Inválida,2
2020,4,PROS,MASCULINO,Superior a 79 anos,398
2020,4,PROS,NÃO INFORMADO,45 a 59 anos,3
2020,4,PROS,NÃO INFORMADO,60 a 69 anos,6
2020,4,PROS,NÃO INFORMADO,70 a 79 anos,1
2020,4,PRP,FEMININO,25 a 34 anos,7
2020,4,PRP,FEMININO,35 a 44 anos,18
2020,4,PRP,FEMININO,45 a 59 anos,27
2020,4,PRP,FEMININO,60 a 69 anos,7
2020,4,PRP,FEMININO,70 a 79 anos,5
2020,4,PRP,FEMININO,Superior a 79 anos,1
2020,4,PRP,MASCULINO,25 a 34 anos,5
2020,4,PRP,MASCULINO,35 a 44 anos,19
2020,4,PRP,MASCULINO,45 a 59 anos,36
2020,4,PRP,MASCULINO,60 a 69 anos,19
2020,4,PRP,MASCULINO,70 a 79 anos,11
2020,4,PRP,MASCULINO,Superior a 79 anos,7
2020,4,PRTB,FEMININO,16 anos,18
2020,4,PRTB,FEMININO,17 anos,46
2020,4,PRTB,FEMININO,18 a 20 anos,430
2020,4,PRTB,FEMININO,21 a 24 anos,"1,485"
2020,4,PRTB,FEMININO,25 a 34 anos,"9,937"
2020,4,PRTB,FEMININO,35 a 44 anos,"18,474"
2020,4,PRTB,FEMININO,45 a 59 anos,"21,839"
2020,4,PRTB,FEMININO,60 a 69 anos,"8,302"
2020,4,PRTB,FEMININO,70 a 79 anos,"3,355"
2020,4,PRTB,FEMININO,Inválida,3
2020,4,PRTB,FEMININO,Superior a 79 anos,"1,223"
2020,4,PRTB,MASCULINO,16 anos,18
2020,4,PRTB,MASCULINO,17 anos,50
2020,4,PRTB,MASCULINO,18 a 20 anos,445
2020,4,PRTB,MASCULINO,21 a 24 anos,"1,686"
2020,4,PRTB,MASCULINO,25 a 34 anos,"11,640"
2020,4,PRTB,MASCULINO,35 a 44 anos,"22,630"
2020,4,PRTB,MASCULINO,45 a 59 anos,"28,613"
2020,4,PRTB,MASCULINO,60 a 69 anos,"11,254"
